'Tabelle 2.'1-1 b':';;;;;;;;;Indikatoren 2.1/2.5;;;;Metadaten;Metadaten;;;;;;;;;
"Durchschnittliche Bevölkerung in Berlin 1990 - 2011
nach Geschlecht, Ausländeranteil und Bezirken";;;;;;;;;;;;;Zur GSI-Suchanfrage;;;;;;;;;;
;;;;;;;;;;;;;Weitere Gesundheitsdaten im Internet;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Bezirk / Geschlecht / Staatsangehörigkeit / Maßeinheit;;Durchschnittliche Bevölkerung;;;;;;;;;;Durchschnittliche Bevölkerung;;;;;;;;;;;
;;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Berlin;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
weiblich;abs.;173.948;173.498;172.879;172.143;172.048;172.728;173.824;174.618;175.458;176.430;176.992;177.184;177.534;178.570;180.174;181.793;182.519;183.494;183.636;183.222;182.751;181.754
;%2);51,6;51,7;51,8;51,8;51,8;52,0;52,1;52,1;52,2;52,3;52,4;52,4;52,5;52,6;52,6;52,7;52,8;52,8;52,9;53,0;53,1;53,1
männlich;abs.;162.882;161.981;160.938;160.005;159.784;159.740;160.058;160.342;160.885;161.205;161.072;161.050;160.852;161.114;162.413;163.070;163.206;163.794;163.318;162.251;161.635;160.291
;%2);48,4;48,3;48,2;48,2;48,2;48,0;47,9;47,9;47,8;47,7;47,6;47,6;47,5;47,4;47,4;47,3;47,2;47,2;47,1;47,0;46,9;46,9
ausländisch;abs.;54.192;53.983;53.409;52.674;51.796;51.290;50.642;50.057;50.173;50.395;50.270;49.584;49.574;49.833;50.401;50.668;49.694;49.034;47.150;44.625;42.474;40.485
;%2);16,1;16,1;16,0;15,9;15,6;15,4;15,2;14,9;14,9;14,9;14,9;14,7;14,7;14,7;14,7;14,7;14,4;14,1;13,6;12,9;12,3;11,8
;;;;;;;;;;;;;;;;;;;;;;;
Neukölln;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;314.778;310.781;311.823;308.091;305.846;305.762;305.631;305.952;307.356;307.067;306.277;306.642;307.648;308.816;311.620;313.991;314.522;314.223;312.636;310.831;308.020;305.485
