'Tabelle 2.'1-1 a':';;;;;;;;;Indikatoren 2.1/2.5;;;;Metadaten;Metadaten;;;;;;;;;;
"Bevölkerung in Berlin 1990 - 2011 (Stand: 31.12.)
nach Geschlecht, Ausländeranteil und Bezirken";;;;;;;;;;;;;Zur GSI-Suchanfrage;;;;;;;;;;;
;;;;;;;;;;;;;Weitere Gesundheitsdaten im Internet;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Bezirk / Geschlecht / Staatsangehörigkeit / Maßeinheit;;Bevölkerung am 31.12.;;;;;;;;;;Bevölkerung am 31.12.;;;;;;;;;;;;
;;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Berlin;;3.501.872;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;%2);51,2;51,3;51,3;51,3;51,3;51,3;51,3;51,3;51,3;51,2;51,2;51,3;51,3;51,3;51,4;51,6;51,8;52,0;52,4;52,7;53,1;53,4;
männlich;abs.;119.413;118.137;117.426;116.567;115.819;115.101;114.717;114.337;113.935;113.677;113.744;112.554;111.669;110.467;108.657;106.357;104.304;103.592;102.541;100.988;99.530;98.658;
;%2);48,8;48,7;48,7;48,7;48,7;48,7;48,7;48,7;48,7;48,8;48,8;48,7;48,7;48,7;48,6;48,4;48,2;48,0;47,6;47,3;46,9;46,6;
ausländisch;abs.;8.695;8.014;7.623;7.545;7.974;8.059;8.345;7.946;7.644;7.517;7.844;8.297;8.713;8.518;8.501;8.650;8.013;7.548;6.830;4.221;1.962;1.221;
;%2);3,6;3,3;3,2;3,2;3,4;3,4;3,5;3,4;3,3;3,2;3,4;3,6;3,8;3,8;3,8;3,9;3,7;3,5;3,2;2,0;0,9;0,6;
;;;;;;;;;;;;;;;;;;;;;;;;
Marzahn-Hellersdorf;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;253.079;249.982;248.026;248.150;249.351;249.881;250.413;251.373;252.941;255.993;258.786;263.713;267.982;273.159;281.713;291.868;296.918;298.346;298.650;298.102;291.673;288.283;
;%1);7,2;7,2;7,2;7,2;7,3;7,3;7,4;7,4;7,5;7,5;7,6;7,8;7,9;8,0;8,2;8,4;8,6;8,6;8,6;8,6;8,5;8,4;
weiblich;abs.;127.994;126.369;125.507;125.497;126.088;126.356;126.508;126.907;127.751;129.282;130.780;133.433;135.848;138.592;143.060;148.164;150.595;151.610;152.054;151.723;149.386;148.072;
;%2);50,6;50,6;50,6;50,6;50,6;50,6;50,5;50,5;50,5;50,5;50,5;50,6;50,7;50,7;50,8;50,8;50,7;50,8;50,9;50,9;51,2;51,4;
männlich;abs.;125.085;123.613;122.519;122.653;123.263;123.525;123.905;124.466;125.190;126.711;128.006;130.280;132.134;134.567;138.653;143.704;146.323;146.736;146.596;146.379;142.287;140.211;
;%2);49,4;49,4;49,4;49,4;49,4;49,4;49,5;49,5;49,5;49,5;49,5;49,4;49,3;49,3;49,2;49,2;49,3;49,2;49,1;49,1;48,8;48,6;
ausländisch;abs.;11.471;10.247;9.380;10.044;9.942;9.624;9.333;8.985;8.736;8.804;8.726;8.805;8.680;8.542;8.868;9.168;9.856;9.274;8.321;8.200;5.869;5.220;
;%2);4,5;4,1;3,8;4,0;4,0;3,9;3,7;3,6;3,5;3,4;3,4;3,3;3,2;3,1;3,1;3,1;3,3;3,1;2,8;2,8;2,0;1,8;
;;;;;;;;;;;;;;;;;;;;;;;;
Lichtenberg (bis 2000: Lichtenberg, Hohenschönhausen);;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;264.447;261.617;259.663;258.869;258.098;258.738;258.894;257.476;258.898;260.493;260.825;261.846;266.502;271.987;278.612;284.560;288.679;288.419;286.761;287.213;286.961;285.717;
;%1);7,6;7,6;7,5;7,5;7,6;7,6;7,6;7,6;7,6;7,7;7,7;7,7;7,9;8,0;8,1;8,2;8,3;8,3;8,3;8,3;8,3;8,3;
weiblich;abs.;133.923;132.772;131.780;131.180;130.598;130.491;130.489;129.819;130.472;131.180;131.184;131.215;133.323;136.249;139.507;142.284;144.533;145.320;145.576;145.910;146.959;147.869;
;%2);50,6;50,8;50,8;50,7;50,6;50,4;50,4;50,4;50,4;50,4;50,3;50,1;50,0;50,1;50,1;50,0;50,1;50,4;50,8;50,8;51,2;51,8;
männlich;abs.;130.524;128.845;127.883;127.689;127.500;128.247;128.405;127.657;128.426;129.313;129.641;130.631;133.179;135.738;139.105;142.276;144.146;143.099;141.185;141.303;140.002;137.848;
;%2);49,4;49,2;49,2;49,3;49,4;49,6;49,6;49,6;49,6;49,6;49,7;49,9;50,0;49,9;49,9;50,0;49,9;49,6;49,2;49,2;48,8;48,2;
ausländisch;abs.;21.900;20.247;19.331;20.655;20.951;21.933;21.892;20.913;20.219;20.397;20.497;20.421;21.449;20.615;20.872;22.546;22.690;19.939;17.473;16.456;13.142;9.255;
;%2);8,3;7,7;7,4;8,0;8,1;8,5;8,5;8,1;7,8;7,8;7,9;7,8;8,0;7,6;7,5;7,9;7,9;6,9;6,1;5,7;4,6;3,2;
;;;;;;;;;;;;;;;;;;;;;;;;
Reinickendorf;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;244.146;241.511;241.065;241.294;241.734;242.445;244.226;245.509;246.077;246.157;245.749;245.644;247.184;247.597;250.494;252.923;253.071;251.301;251.298;249.920;249.383;249.642;
;%1);7,0;7,0;7,0;7,0;7,1;7,1;7,2;7,2;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,2;7,2;7,2;7,2;7,3;
weiblich;abs.;126.344;125.129;125.158;125.535;125.962;126.324;127.309;128.131;128.464;128.597;128.753;129.020;129.942;130.204;131.395;132.807;133.279;132.779;132.905;132.525;132.408;132.629;
;%2);51,7;51,8;51,9;52,0;52,1;52,1;52,1;52,2;52,2;52,2;52,4;52,5;52,6;52,6;52,5;52,5;52,7;52,8;52,9;53,0;53,1;53,1;
männlich;abs.;117.802;116.382;115.907;115.759;115.772;116.121;116.917;117.378;117.613;117.560;116.996;116.624;117.242;117.393;119.099;120.116;119.792;118.522;118.393;117.395;116.975;117.013;
;%2);48,3;48,2;48,1;48,0;47,9;47,9;47,9;47,8;47,8;47,8;47,6;47,5;47,4;47,4;47,5;47,5;47,3;47,2;47,1;47,0;46,9;46,9;
ausländisch;abs.;26.122;23.488;22.781;22.511;22.299;21.955;22.380;22.031;21.791;21.350;21.014;20.780;21.226;21.350;23.235;23.681;22.959;21.596;20.327;18.527;17.123;16.329;
;%2);10,7;9,7;9,5;9,3;9,2;9,1;9,2;9,0;8,9;8,7;8,6;8,5;8,6;8,6;9,3;9,4;9,1;8,6;8,1;7,4;6,9;6,5;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
1) Anteil an Berlin.;;;;;;;;;;;;;;;;;;;;;;;;
2) Anteil an der jeweiligen Region (Berlin bzw. Bezirk).;;;;;;;;;;;;;;;;;;;;;;;;
(Datenquelle: AfS Berlin-Brandenburg / Berechnung: SenGesSoz - I A -);;;;;;;;;;;;;;;;;;;;;;;;
